,lower values,upper values
2018-12-10,1516.7509594906153,4072.883957461924
2018-12-11,1050.8028131141325,4265.474252704726
2018-12-12,934.7513992640759,4313.16425179195
2018-12-13,720.5144266467357,4359.3452173239475
2018-12-14,654.2411122225938,4469.988644308435
2018-12-17,1786.5676429614546,5783.811028711696
2018-12-18,1929.2318824307924,5959.268867649433
2018-12-19,1765.6138803341855,6038.197211576431
2018-12-20,742.5135874448129,5058.783007444028
2018-12-21,360.6142042466199,4546.191656530453
2018-12-24,316.51125791302,4532.629857441393
2018-12-25,356.6001900499173,4597.2417800894145
2018-12-26,5.447152233887209,4849.157492831189
2018-12-27,-240.82255691331193,4852.2491215939945
2018-12-28,-186.87025065340413,4795.186780423932
